question,option,input_type,input_id,dependence,dependence_value,required
"If yes, how many years have you been using R?",5,numeric,years_using_r,learned_r,Yes,FALSE
Have you ever learned a programming language (other than R)?,Yes,y/n,learned_programming_not_r,NA,NA,TRUE
Have you ever learned a programming language (other than R)?,No,y/n,learned_programming_not_r,NA,NA,TRUE
"If yes, which language(s) and how many years have you been using each language?",NA,text,years_programming_not_r,learned_programming_not_r,Yes,FALSE
Have you ever completed a data analysis?,Yes,y/n,completed_data_analysis,NA,NA,TRUE
Have you ever completed a data analysis?,No,y/n,completed_data_analysis,NA,NA,TRUE
"If yes, approximately how many data analyses have you completed?",0 to 5,mc,number_completed_data_analysis,completed_data_analysis,Yes,FALSE
"If yes, approximately how many data analyses have you completed?",5 to 10,mc,number_completed_data_analysis,completed_data_analysis,Yes,FALSE
"If yes, approximately how many data analyses have you completed?",10 to 15,mc,number_completed_data_analysis,completed_data_analysis,Yes,FALSE
"If yes, approximately how many data analyses have you completed?",15+,mc,number_completed_data_analysis,completed_data_analysis,Yes,FALSE
